Date,Open,High,Low,Close,Adj Close,Volume,polarity,subjectivity
2017-06-25,2607.25,2682.26001,2552.120117,2589.409912,2589.409912,1161100032,0.12228417717548151,0.4773351527699354
2017-06-26,2590.570068,2615.25,2376.290039,2478.449951,2478.449951,1663280000,0.0717486124986125,0.3996447163947164
2017-06-27,2478.449951,2552.449951,2332.98999,2552.449951,2552.449951,1489789952,0.14098266777710136,0.3417212583423521
2017-06-28,2553.030029,2603.97998,2484.419922,2574.790039,2574.790039,1183869952,0.14801109097620724,0.4002137655626028
2017-06-29,2567.560059,2588.830078,2510.47998,2539.320068,2539.320068,949979008,0.13503399406094016,0.373445259553044
2017-06-30,2539.23999,2559.25,2478.429932,2480.840088,2480.840088,860273024,0.1498727306285446,0.32618561025537773
2017-07-01,2492.600098,2515.27002,2419.22998,2434.550049,2434.550049,779913984,0.15637410940336996,0.3369104265798481
2017-07-02,2436.399902,2514.280029,2394.840088,2506.469971,2506.469971,803747008,0.12314902733534809,0.332937869258624
2017-07-03,2498.560059,2595.0,2480.469971,2564.060059,2564.060059,964112000,0.15301554890422078,0.3644131324404762
2017-07-04,2561.0,2631.590088,2559.350098,2601.639893,2601.639893,985516032,0.2447217875832334,0.39951859385594324
2017-07-05,2602.870117,2622.649902,2538.550049,2601.98999,2601.98999,941566016,0.11572199890057033,0.3456348519205662
2017-07-06,2608.100098,2616.719971,2581.689941,2608.560059,2608.560059,761956992,0.14884481925795484,0.35842957419228605
2017-07-07,2608.590088,2916.139893,2498.870117,2518.659912,2518.659912,917411968,0.12587562129228794,0.327554379776602
2017-07-08,2520.27002,2571.340088,2492.310059,2571.340088,2571.340088,733329984,0.14968660576711423,0.33402108249565876
2017-07-09,2572.610107,2635.48999,2517.590088,2518.439941,2518.439941,527856000,0.08896791039648183,0.3328921871779015
2017-07-10,2525.25,2537.159912,2321.129883,2372.560059,2372.560059,1111200000,0.1640856217195503,0.3506298463441321
2017-07-11,2385.889893,2413.469971,2296.810059,2337.790039,2337.790039,1329760000,0.14296399105559413,0.35444624819624815
2017-07-12,2332.77002,2423.709961,2275.139893,2398.840088,2398.840088,1117410048,0.12401886209029066,0.3367016079158936
2017-07-13,2402.699951,2425.219971,2340.830078,2357.899902,2357.899902,835769984,0.1351865243342516,0.40831518649700466
2017-07-14,2360.590088,2363.25,2183.219971,2233.340088,2233.340088,882502976,0.16068428136976523,0.35473789352821605
2017-07-15,2230.120117,2231.139893,1990.410034,1998.859985,1998.859985,993608000,0.1731898456898457,0.35887159887159886
